  5.3736000000000000e+004  5.2622000000000002e-002  3.8368500000000000e-001  3.3880529999999998e-001
  5.3737000000000000e+004  5.1697000000000000e-002  3.8332600000000000e-001  3.3857139999999997e-001
  5.3738000000000000e+004  5.0889000000000004e-002  3.8305600000000001e-001  3.3810129999999999e-001
  5.3739000000000000e+004  5.0098999999999998e-002  3.8277999999999995e-001  3.3740120000000001e-001
  5.3740000000000000e+004  4.9500999999999996e-002  3.8240299999999999e-001  3.3653690000000003e-001
  5.3741000000000000e+004  4.9405999999999999e-002  3.8213500000000000e-001  3.3558530000000003e-001
  5.3742000000000000e+004  4.9533000000000001e-002  3.8200400000000001e-001  3.3467439999999998e-001
  5.3743000000000000e+004  4.9460999999999998e-002  3.8196300000000000e-001  3.3394560000000001e-001
  5.3744000000000000e+004  4.9453000000000004e-002  3.8165899999999997e-001  3.3347759999999999e-001
  5.3745000000000000e+004  4.9529000000000004e-002  3.8148799999999999e-001  3.3327910000000005e-001
  5.3746000000000000e+004  4.9195999999999997e-002  3.8142000000000004e-001  3.3330789999999999e-001
  5.3747000000000000e+004  4.8701999999999995e-002  3.8100000000000001e-001  3.3350439999999998e-001
  5.3748000000000000e+004  4.8506000000000001e-002  3.8073200000000001e-001  3.3377769999999995e-001
  5.3749000000000000e+004  4.8645000000000001e-002  3.8027200000000000e-001  3.3399950000000000e-001
  5.3750000000000000e+004  4.9186000000000001e-002  3.8012200000000002e-001  3.3409509999999998e-001
  5.3751000000000000e+004  4.9939999999999998e-002  3.8000099999999998e-001  3.3407569999999998e-001
  5.3752000000000000e+004  5.0390999999999998e-002  3.8028099999999998e-001  3.3393590000000001e-001
  5.3753000000000000e+004  5.0545000000000000e-002  3.8072200000000000e-001  3.3363860000000001e-001
  5.3754000000000000e+004  5.0709000000000004e-002  3.8098300000000002e-001  3.3316520000000005e-001
  5.3755000000000000e+004  5.0412999999999999e-002  3.8134899999999999e-001  3.3255319999999999e-001
  5.3756000000000000e+004  5.0195999999999998e-002  3.8144900000000004e-001  3.3187380000000000e-001
  5.3757000000000000e+004  5.0134999999999999e-002  3.8168200000000002e-001  3.3119099999999996e-001
  5.3758000000000000e+004  5.0180999999999996e-002  3.8106400000000001e-001  3.3055319999999999e-001
  5.3759000000000000e+004  5.0250999999999997e-002  3.8058500000000001e-001  3.2999259999999997e-001
  5.3760000000000000e+004  5.0137999999999995e-002  3.8066800000000001e-001  3.2952010000000004e-001
  5.3761000000000000e+004  5.0081000000000001e-002  3.8091300000000000e-001  3.2911299999999999e-001
  5.3762000000000000e+004  5.0281999999999993e-002  3.8102900000000001e-001  3.2872140000000000e-001
  5.3763000000000000e+004  5.0671000000000001e-002  3.8135199999999997e-001  3.2827990000000001e-001
  5.3764000000000000e+004  5.1114000000000000e-002  3.8172099999999998e-001  3.2770769999999999e-001
  5.3765000000000000e+004  5.1451999999999998e-002  3.8202100000000000e-001  3.2688139999999999e-001
  5.3766000000000000e+004  5.1535999999999998e-002  3.8257600000000003e-001  3.2573000000000002e-001
  5.3767000000000000e+004  5.1299999999999998e-002  3.8334900000000000e-001  3.2429659999999999e-001
  5.3768000000000000e+004  5.0685000000000001e-002  3.8403599999999999e-001  3.2272199999999995e-001
  5.3769000000000000e+004  5.0150000000000000e-002  3.8448899999999997e-001  3.2117610000000002e-001
  5.3770000000000000e+004  5.0106000000000005e-002  3.8482200000000000e-001  3.1978230000000002e-001
  5.3771000000000000e+004  5.0252999999999999e-002  3.8487800000000000e-001  3.1864170000000003e-001
  5.3772000000000000e+004  5.0915999999999996e-002  3.8468400000000003e-001  3.1780290000000000e-001
  5.3773000000000000e+004  5.1152000000000003e-002  3.8479000000000002e-001  3.1722190000000000e-001
  5.3774000000000000e+004  5.1417000000000004e-002  3.8459100000000002e-001  3.1679770000000002e-001
  5.3775000000000000e+004  5.2648000000000000e-002  3.8456299999999999e-001  3.1643740000000004e-001
  5.3776000000000000e+004  5.3795000000000003e-002  3.8474799999999998e-001  3.1606450000000003e-001
  5.3777000000000000e+004  5.5017000000000003e-002  3.8484800000000002e-001  3.1561390000000000e-001
  5.3778000000000000e+004  5.6345999999999993e-002  3.8474999999999998e-001  3.1500060000000002e-001
  5.3779000000000000e+004  5.7301999999999999e-002  3.8440900000000000e-001  3.1422559999999999e-001
  5.3780000000000000e+004  5.8101000000000000e-002  3.8412000000000002e-001  3.1333879999999997e-001
  5.3781000000000000e+004  5.8961000000000000e-002  3.8392899999999996e-001  3.1237580000000004e-001
  5.3782000000000000e+004  6.0350000000000001e-002  3.8389100000000004e-001  3.1134460000000003e-001
  5.3783000000000000e+004  6.1975999999999996e-002  3.8429599999999997e-001  3.1025510000000001e-001
  5.3784000000000000e+004  6.4190999999999998e-002  3.8483999999999996e-001  3.0915429999999999e-001
  5.3785000000000000e+004  6.5778999999999990e-002  3.8523900000000000e-001  3.0809130000000001e-001
  5.3786000000000000e+004  6.6769000000000009e-002  3.8508300000000001e-001  3.0714039999999998e-001
  5.3787000000000000e+004  6.7402000000000004e-002  3.8487199999999999e-001  3.0637480000000000e-001
  5.3788000000000000e+004  6.7385000000000000e-002  3.8454700000000003e-001  3.0581999999999998e-001
  5.3789000000000000e+004  6.7629000000000009e-002  3.8409199999999999e-001  3.0542140000000001e-001
  5.3790000000000000e+004  6.8007999999999999e-002  3.8382200000000000e-001  3.0504610000000004e-001
  5.3791000000000000e+004  6.8856000000000001e-002  3.8334300000000004e-001  3.0451819999999996e-001
  5.3792000000000000e+004  7.0142999999999997e-002  3.8304600000000000e-001  3.0371640000000000e-001
